File,DialogName,Location,Type,FormFields,Level,Priority,Notes
categories_screen.dart,AddCategory/EditCategory,Line 116,form,"name*, description",1,HIGH,"Input dialogs for category management. Both add and edit use same _showDialog"
categories_screen.dart,DeleteCategory,Line 240,confirmation,"none",1,HIGH,"Confirmation dialog for category deletion"
currency_management_screen.dart,AddCurrency/EditCurrency,Line 70,form,"TBD in _CurrencyDialog widget",1,HIGH,"Form dialog via _CurrencyDialog widget. Requires checking widget"
currency_management_screen.dart,DeleteCurrency,Line 103,confirmation,"none",2,MEDIUM,"Confirmation dialog for currency deletion"
customers_screen.dart,AddCustomer/EditCustomer,Line 144,form,"TBD in CustomerFormDialog",1,HIGH,"Uses external CustomerFormDialog widget"
customers_screen.dart,DeleteCustomer,Line 157,confirmation,"none",2,MEDIUM,"Confirmation dialog for customer deletion"
gift_cards_screen.dart,IssueGiftCard,Line 49,form,"TBD in _IssueGiftCardDialog",1,HIGH,"Complex form dialog for issuing new gift cards"
gift_cards_screen.dart,CheckGiftCardBalance,Line 61,selection/info,"card_number",2,MEDIUM,"Single field input dialog for card number, followed by balance display"
gift_cards_screen.dart,GiftCardBalance,Line 90,info,"none",3,LOW,"Read-only info dialog showing card balance"
home_screen.dart,"NONE",N/A,none,"none",0,NONE,"Navigation hub - no dialogs"
layaway_screen.dart,CreateLayaway,Line 71,form,"TBD in _CreateLayawayDialog",1,HIGH,"Form dialog for creating new layaway/hold"
layaway_screen.dart,LayawayDetail,Line 59,info,"none",2,MEDIUM,"Info dialog showing layaway details (_LayawayDetailDialog)"
layaway_screen.dart,DeleteLayaway,Line 245,confirmation,"none",2,MEDIUM,"Confirmation dialog for layaway deletion"
loyalty_program_screen.dart,EditLoyaltyProgram,Line 177,form,"TBD in _ProgramDialog",1,HIGH,"Form dialog for updating program settings"
loyalty_program_screen.dart,AddPoints,Line 190,form,"TBD in _AddPointsDialog",1,HIGH,"Form dialog for adding loyalty points to customer"
mobile_home_screen.dart,ServerURL,Line 154,selection/info,"API_URL",2,MEDIUM,"Configuration dialog for entering server API base URL"
multi_store_screen.dart,AddStore/EditStore,Line 298,form,"TBD in _StoreDialog",1,HIGH,"Form dialog for store management"
multi_store_screen.dart,InventoryManagement,Line 312,form,"TBD in _InventoryDialog",1,HIGH,"Form dialog for managing store inventory"
multi_store_screen.dart,StockTransfer,Line 327,form,"TBD in _TransferDialog",1,HIGH,"Form dialog for transferring stock between stores"
multi_store_screen.dart,DeleteStore,Line 338,confirmation,"none",2,MEDIUM,"Confirmation dialog for store deletion"
orders_screen.dart,DeleteOrder,Line 230,confirmation,"none",2,MEDIUM,"Confirmation dialog for order deletion"
orders_screen.dart,OrderDetails,Line 324,info,"none",2,MEDIUM,"Read-only info dialog showing order details (_OrderDetailsDialog)"
payment_gateway_screen.dart,ConfigureGateway,Line 490,form,"api_key, api_secret, webhook_secret, is_active, is_test_mode",1,HIGH,"Form dialog for payment gateway configuration (Stripe, PayPal, Square, etc)"
payment_gateway_screen.dart,TestGateway,Line 615,info,"none",3,LOW,"Info dialog for testing gateway connection"
payment_gateway_screen.dart,TransactionDetails,Line 650,info,"none",2,MEDIUM,"Info dialog showing transaction details with optional refund action"
payment_gateway_screen.dart,ProcessRefund,Line 706,form,"refund_amount, reason",1,HIGH,"Form dialog for processing transaction refunds"
pending_orders_screen.dart,CompleteOrder,Line 167,confirmation,"none",2,MEDIUM,"Confirmation dialog to mark order as completed"
pending_orders_screen.dart,OrderDetails,Line 232,info,"none",2,MEDIUM,"Read-only info dialog for order details"
pending_orders_screen.dart,DeleteOrder,Line 247,confirmation,"none",2,MEDIUM,"Confirmation dialog for order deletion"
permissions_screen.dart,BulkAction,Line 215,confirmation,"none",2,MEDIUM,"Confirmation dialog for bulk permission changes"
price_management_screen.dart,UpdatePrice,Line 726,form,"selling_price",1,HIGH,"Form dialog for updating product selling price with margin calculation"
products_screen.dart,DeleteProduct,Line 256,confirmation,"none",2,MEDIUM,"Confirmation dialog for product deletion"
refund_management_screen.dart,ProcessRefund,Line 104,form,"TBD in _RefundDialog",1,HIGH,"Form dialog for creating new refunds"
refund_management_screen.dart,EditRefund,Line 116,form,"TBD in _RefundDialog",1,HIGH,"Form dialog for editing existing refunds"
refund_management_screen.dart,DeleteRefund,Line 129,confirmation,"none",2,MEDIUM,"Confirmation dialog for refund deletion"
stock_management_screen.dart,AdjustStock,Line 91,form,"TBD in _StockAdjustmentDialog",1,HIGH,"Form dialog for stock level adjustments"
suppliers_screen.dart,AddSupplier/EditSupplier,Line 84,form,"TBD in _SupplierDialog",1,HIGH,"Form dialog for supplier management"
suppliers_screen.dart,DeleteSupplier,Line 97,confirmation,"none",2,MEDIUM,"Confirmation dialog for supplier deletion"
tax_management_screen.dart,DeleteTaxRate,Line 102,confirmation,"none",2,MEDIUM,"Confirmation dialog for tax rate deletion"
tax_management_screen.dart,AddTaxRate/EditTaxRate,Line 142,form,"TBD in _TaxRateDialog",1,HIGH,"Form dialog for tax rate management"
users_screen.dart,DeleteUser,Line 75,confirmation,"none",2,MEDIUM,"Confirmation dialog for user deletion"
users_screen.dart,AddUser/EditUser,Line 106,form,"TBD in UserDialog",1,HIGH,"Form dialog for user management (add/edit)"
